Tourist_ID,Age,Gender,Country,State,City,Tourist_Type,Purpose,Season,Month,Travel_Mode,Hotel_Type,Hotel_Rating,Days_Stayed,Travel_Cost,Hotel_Cost,Food_Cost,Shopping_Cost,Total_Expense,Tourist_Satisfaction,Booking_Mode,Group_Size,Repeat_Visitor
T0068,55,Female,USA,Rajasthan,Chennai,Domestic,Vacation,Winter,Oct,Flight,Standard,4.3,6,21846,38100,3945,5565,69456,10,Online,4,Yes
T0069,27,Female,India,Goa,Mysuru,Domestic,Pilgrimage,Summer,Jul,Bus,Budget,3.4,4,13320,16441,4377,1616,35754,7,Online,1,No
T0070,45,Male,India,Tamil Nadu,Jaipur,International,Vacation,Monsoon,Sep,Bus,Budget,3.4,10,32994,40484,8879,18045,100402,9,Offline,2,No
T0071,19,Female,Australia,Rajasthan,Jaipur,International,Adventure,Monsoon,Dec,Train,Budget,4.7,3,8964,6055,3596,7684,26299,5,Online,1,No
T0072,51,Male,Australia,Rajasthan,Mysuru,Domestic,Adventure,Monsoon,Mar,Car,Standard,3.4,4,24239,40559,1301,2697,68796,6,Online,5,No
T0073,43,Male,UK,Kerala,Chennai,International,Adventure,Monsoon,Mar,Bus,Standard,4.8,7,38000,5993,5099,13553,62645,8,Online,1,Yes
T0074,53,Female,UK,Kerala,Mysuru,Domestic,Vacation,Summer,Jun,Train,Budget,3.2,6,34250,25579,4888,19696,84413,8,Online,6,Yes
T0075,68,Female,India,Goa,Jaipur,International,Business,Summer,Jan,Flight,Budget,4.2,9,11720,30154,2049,6115,50038,6,Online,4,Yes
T0076,45,Male,India,Karnataka,Mysuru,Domestic,Pilgrimage,Winter,Dec,Flight,Luxury,4.8,4,22835,5877,9450,3898,42060,8,Online,5,No
T0077,69,Male,Germany,Karnataka,Mysuru,International,Vacation,Monsoon,Jan,Train,Standard,3.6,4,23215,25688,9688,19977,78568,6,Online,1,No
T0078,50,Female,India,Goa,Mysuru,Domestic,Vacation,Summer,Aug,Car,Budget,4.6,2,33061,8005,3106,15640,59812,10,Offline,4,Yes
T0079,66,Female,India,Kerala,Jaipur,Domestic,Pilgrimage,Summer,Aug,Flight,Standard,3.2,5,15196,12587,5023,8620,41426,6,Offline,6,Yes
T0080,29,Female,India,Kerala,Jaipur,Domestic,Pilgrimage,Winter,Mar,Flight,Standard,4.9,6,16225,8164,1853,17500,43742,7,Offline,2,No
T0081,27,Female,Germany,Rajasthan,Panaji,Domestic,Vacation,Winter,Dec,Flight,Standard,4.3,5,32539,26442,5562,5366,69909,8,Offline,4,Yes
T0082,27,Female,Germany,Tamil Nadu,Chennai,Domestic,Adventure,Winter,Aug,Flight,Standard,3.5,2,11294,43227,9175,7438,71134,10,Offline,1,No
T0083,57,Male,USA,Goa,Jaipur,Domestic,Vacation,Monsoon,Aug,Flight,Luxury,3.2,6,36354,47816,4573,4865,93608,9,Online,2,No
T0084,18,Female,Germany,Tamil Nadu,Chennai,Domestic,Business,Winter,Sep,Flight,Budget,3.2,10,29853,32769,1029,17958,81609,7,Offline,2,Yes
T0085,63,Male,Australia,Goa,Kochi,Domestic,Adventure,Monsoon,Dec,Car,Budget,4.4,6,5410,5796,1306,15736,28248,8,Offline,3,Yes
T0086,43,Male,Australia,Tamil Nadu,Panaji,Domestic,Vacation,Monsoon,Feb,Flight,Budget,4.3,7,16109,7829,2156,13938,40032,8,Offline,6,No
T0087,35,Male,Germany,Kerala,Mysuru,Domestic,Vacation,Summer,Jan,Flight,Standard,3.4,3,34363,22788,1165,10359,68675,8,Online,3,Yes
T0088,50,Female,USA,Rajasthan,Panaji,Domestic,Adventure,Winter,Feb,Bus,Budget,4.6,6,7521,6563,5696,9167,28947,9,Offline,3,No
T0089,41,Female,India,Tamil Nadu,Jaipur,Domestic,Vacation,Winter,Feb,Train,Standard,4.4,3,29441,47850,1304,848,79443,6,Online,3,Yes
T0090,55,Female,UK,Rajasthan,Panaji,Domestic,Business,Winter,Oct,Bus,Standard,4.8,3,7524,9786,9394,2771,29475,9,Online,4,No
T0091,42,Male,Germany,Karnataka,Kochi,Domestic,Pilgrimage,Monsoon,Jul,Car,Luxury,4.9,2,6489,41270,9834,1058,58651,6,Offline,4,No
T0092,33,Female,UK,Tamil Nadu,Chennai,International,Adventure,Monsoon,Jan,Car,Luxury,3.6,3,32671,17397,5810,1313,57191,10,Offline,6,No
T0093,54,Male,Germany,Kerala,Chennai,International,Pilgrimage,Winter,May,Car,Budget,3.2,6,17558,23267,1084,11003,52912,7,Online,5,No
T0094,57,Female,Germany,Goa,Mysuru,Domestic,Vacation,Summer,Nov,Train,Luxury,4.6,3,10571,12882,4645,19184,47282,7,Offline,5,No
T0095,46,Male,UK,Tamil Nadu,Mysuru,Domestic,Vacation,Winter,Oct,Flight,Standard,3.8,8,23782,19779,8221,975,52757,5,Online,4,No
T0096,54,Male,UK,Rajasthan,Panaji,International,Adventure,Summer,Nov,Car,Budget,4.8,4,12473,37525,8750,11676,70424,9,Offline,5,No
T0097,28,Female,UK,Tamil Nadu,Kochi,International,Vacation,Summer,Aug,Car,Budget,3.3,6,8714,30478,1933,13891,55016,5,Online,1,No
T0098,19,Male,Australia,Rajasthan,Chennai,International,Business,Summer,Oct,Train,Luxury,4.8,7,36482,24389,3171,14943,78985,6,Offline,2,No
T0099,23,Male,UK,Tamil Nadu,Kochi,International,Pilgrimage,Summer,Sep,Flight,Luxury,4.1,9,17955,3378,6302,5678,33313,5,Online,2,No
T0100,50,Male,UK,Karnataka,Kochi,Domestic,Business,Monsoon,Apr,Car,Luxury,4.2,3,10551,28889,5122,15569,60131,7,Offline,2,Yes
T0101,22,Male,Germany,Rajasthan,Chennai,International,Pilgrimage,Summer,Sep,Bus,Standard,3.5,4,31884,14602,9011,7642,63139,7,Offline,5,No
T0102,40,Male,UK,Rajasthan,Kochi,Domestic,Vacation,Winter,Apr,Flight,Luxury,3.4,9,15285,22777,3739,10703,52504,9,Offline,4,Yes
T0103,57,Female,UK,Rajasthan,Jaipur,International,Vacation,Winter,Apr,Car,Luxury,4.4,5,26574,49979,8387,2473,87413,9,Online,6,Yes
T0104,19,Female,Australia,Kerala,Mysuru,International,Pilgrimage,Summer,Oct,Train,Luxury,4.4,7,32934,24583,3240,14401,75158,9,Offline,2,Yes
T0105,54,Male,UK,Rajasthan,Chennai,Domestic,Pilgrimage,Summer,Feb,Bus,Budget,4.5,4,7558,28742,7020,8314,51634,9,Offline,5,No
T0106,70,Female,India,Goa,Panaji,Domestic,Business,Monsoon,Apr,Flight,Budget,3.7,2,22623,6560,6296,14422,49901,6,Online,3,Yes
T0107,37,Female,USA,Tamil Nadu,Kochi,International,Business,Winter,Feb,Bus,Standard,3.3,6,37124,19566,3487,16732,76909,6,Online,1,Yes
T0108,42,Female,USA,Rajasthan,Jaipur,Domestic,Vacation,Summer,Oct,Car,Standard,4.3,3,34136,6914,5146,1425,47621,7,Offline,5,Yes
T0109,28,Female,Germany,Kerala,Chennai,Domestic,Adventure,Winter,Jun,Car,Standard,4.8,6,29145,7183,3680,1616,41624,7,Offline,6,Yes
T0110,32,Male,Australia,Rajasthan,Chennai,Domestic,Business,Winter,Apr,Bus,Standard,4.1,3,11915,37765,4847,7706,62233,7,Offline,4,No
T0111,50,Male,India,Goa,Panaji,International,Business,Monsoon,Dec,Car,Luxury,3.3,3,5711,5446,9570,14053,34780,8,Online,1,No
T0112,69,Female,Australia,Tamil Nadu,Mysuru,International,Pilgrimage,Monsoon,Jun,Flight,Budget,4.4,5,22200,30750,3878,9642,66470,9,Offline,1,Yes
T0113,39,Female,Australia,Kerala,Jaipur,International,Business,Winter,Apr,Car,Standard,4.6,7,39647,29135,4632,12583,85997,10,Online,5,Yes
T0114,51,Male,UK,Rajasthan,Jaipur,Domestic,Vacation,Summer,Aug,Car,Budget,3.5,10,22670,44396,4283,12667,84016,7,Offline,1,No
T0115,37,Female,India,Rajasthan,Kochi,Domestic,Pilgrimage,Summer,Nov,Flight,Budget,4.0,5,16889,7963,5566,4365,34783,7,Offline,3,Yes
T0116,43,Male,Australia,Tamil Nadu,Chennai,International,Pilgrimage,Winter,Feb,Train,Standard,4.2,10,38124,41970,6546,18076,104716,10,Online,4,Yes
T0117,28,Female,UK,Karnataka,Jaipur,Domestic,Business,Winter,Dec,Flight,Standard,4.4,9,6386,15117,8743,5058,35304,8,Offline,4,No
T0118,21,Male,India,Karnataka,Kochi,International,Business,Monsoon,Aug,Car,Standard,4.0,7,14544,28155,1486,14975,59160,10,Online,6,Yes
T0119,40,Male,UK,Rajasthan,Jaipur,Domestic,Vacation,Winter,Mar,Car,Budget,4.0,9,26669,34501,9472,18571,89213,8,Online,1,Yes
T0120,23,Male,Australia,Rajasthan,Jaipur,International,Vacation,Summer,Jun,Flight,Budget,4.0,2,9978,17345,9784,5006,42113,10,Online,1,No
T0121,50,Male,Germany,Goa,Mysuru,Domestic,Business,Monsoon,Feb,Bus,Budget,4.1,5,17615,3260,8341,13155,42371,9,Offline,5,No
T0122,52,Female,India,Goa,Mysuru,Domestic,Pilgrimage,Summer,Jun,Car,Luxury,3.6,7,21522,49642,7588,11779,90531,5,Online,2,Yes
T0123,29,Male,India,Rajasthan,Jaipur,International,Vacation,Summer,Jun,Bus,Standard,4.9,7,21014,41104,7051,5877,75046,10,Offline,4,Yes
T0124,57,Female,Germany,Goa,Kochi,Domestic,Pilgrimage,Summer,Mar,Bus,Standard,4.8,5,21216,22598,6463,5210,55487,10,Online,2,Yes
T0125,38,Male,India,Tamil Nadu,Mysuru,Domestic,Business,Summer,May,Bus,Standard,3.4,3,7953,6648,4899,8225,27725,10,Offline,3,No
T0126,26,Female,UK,Rajasthan,Jaipur,Domestic,Business,Summer,Jan,Train,Budget,3.5,2,12513,44137,9453,11719,77822,8,Offline,1,Yes
T0127,22,Female,USA,Goa,Mysuru,Domestic,Pilgrimage,Monsoon,Jan,Bus,Budget,4.6,5,12267,47246,7949,5499,72961,7,Online,4,No
T0128,54,Male,Australia,Rajasthan,Chennai,International,Business,Winter,Dec,Train,Budget,3.6,4,27892,17703,2788,1258,49641,8,Online,6,No
T0129,59,Male,USA,Kerala,Kochi,International,Vacation,Summer,Jul,Bus,Luxury,4.3,3,25313,9896,1841,4117,41167,5,Online,3,No
T0130,40,Male,UK,Kerala,Mysuru,Domestic,Vacation,Summer,May,Car,Budget,4.0,2,30539,24799,9220,10930,75488,5,Online,1,No
T0131,64,Female,UK,Goa,Jaipur,Domestic,Adventure,Summer,May,Train,Standard,4.9,9,29931,5696,4333,4988,44948,10,Offline,6,Yes
T0132,54,Female,Australia,Goa,Panaji,Domestic,Vacation,Summer,Jan,Train,Budget,3.5,2,30110,14877,4206,19181,68374,7,Online,2,Yes
T0133,56,Male,Germany,Goa,Mysuru,Domestic,Vacation,Monsoon,Jun,Car,Standard,4.8,2,32766,25316,9564,11599,79245,6,Online,5,Yes
T0134,63,Female,India,Kerala,Kochi,Domestic,Pilgrimage,Summer,Jul,Train,Luxury,5.0,6,6224,5686,9603,2187,23700,5,Offline,4,Yes
T0135,54,Female,USA,Goa,Jaipur,International,Business,Monsoon,Nov,Car,Budget,4.9,10,27595,20938,6232,3124,57889,7,Offline,4,No
T0136,54,Male,Germany,Tamil Nadu,Chennai,International,Pilgrimage,Winter,Jan,Car,Budget,4.0,7,18972,15225,2770,5826,42793,6,Online,3,Yes
T0137,45,Male,Australia,Karnataka,Panaji,International,Adventure,Summer,Jun,Train,Budget,3.7,7,24406,46414,9105,13653,93578,8,Offline,2,No
T0138,43,Male,India,Goa,Jaipur,Domestic,Vacation,Monsoon,Mar,Train,Budget,3.6,7,12250,24952,4780,7570,49552,8,Offline,5,No
T0139,66,Female,Australia,Rajasthan,Chennai,International,Adventure,Summer,Dec,Bus,Standard,3.5,2,5517,15448,4702,13558,39225,10,Offline,6,No
T0140,56,Female,Australia,Kerala,Chennai,International,Business,Winter,Feb,Train,Budget,4.3,3,37570,36298,7668,12024,93560,7,Offline,4,No
T0141,23,Female,Germany,Rajasthan,Kochi,Domestic,Adventure,Winter,Jan,Bus,Standard,4.1,9,39904,15160,9008,14812,78884,7,Offline,3,Yes
T0142,66,Male,Germany,Tamil Nadu,Panaji,Domestic,Pilgrimage,Summer,Apr,Bus,Standard,4.9,10,13207,22882,1614,17341,55044,5,Online,6,Yes
T0143,64,Female,Australia,Karnataka,Panaji,International,Pilgrimage,Winter,Apr,Bus,Standard,4.0,2,29500,17301,1023,8054,55878,7,Online,6,Yes
T0144,63,Female,India,Karnataka,Jaipur,International,Vacation,Summer,Feb,Bus,Luxury,4.4,7,6146,28752,4361,13012,52271,6,Online,1,Yes
T0145,59,Male,India,Goa,Panaji,Domestic,Vacation,Summer,Apr,Bus,Budget,4.3,6,15961,32897,4920,13465,67243,7,Offline,2,Yes
T0146,33,Male,India,Goa,Chennai,Domestic,Adventure,Winter,Oct,Car,Luxury,4.9,7,31672,11316,9333,18783,71104,6,Online,5,No
T0147,24,Female,Germany,Goa,Mysuru,International,Vacation,Summer,Mar,Train,Standard,4.6,8,15414,38919,1008,8082,63423,6,Online,2,No
T0148,35,Female,Germany,Kerala,Chennai,Domestic,Vacation,Summer,Jul,Train,Standard,3.7,9,22532,39152,1635,15288,78607,5,Offline,3,Yes
T0149,43,Male,UK,Rajasthan,Chennai,Domestic,Business,Monsoon,Jul,Train,Luxury,4.9,8,20862,28012,8193,560,57627,7,Offline,1,No
T0150,56,Male,India,Tamil Nadu,Chennai,International,Adventure,Winter,Apr,Train,Luxury,4.1,5,23235,32686,3454,4221,63596,5,Online,3,Yes
T0151,35,Female,Australia,Tamil Nadu,Kochi,International,Vacation,Summer,Jun,Flight,Luxury,3.6,9,34653,29420,9568,14557,88198,8,Offline,2,No
T0152,20,Female,Germany,Kerala,Jaipur,Domestic,Pilgrimage,Monsoon,Sep,Car,Budget,4.8,3,10256,41672,9641,12081,73650,7,Offline,6,Yes
T0153,18,Female,India,Tamil Nadu,Mysuru,International,Business,Summer,Mar,Bus,Standard,4.5,9,37862,27394,1519,15478,82253,9,Offline,1,Yes
T0154,24,Female,Australia,Karnataka,Jaipur,International,Business,Winter,Aug,Flight,Luxury,3.6,4,24637,32606,8970,10179,76392,10,Online,1,No
T0155,21,Male,USA,Tamil Nadu,Kochi,Domestic,Pilgrimage,Monsoon,Dec,Car,Budget,3.4,3,35981,40833,6741,2556,86111,7,Offline,5,No
T0156,20,Male,USA,Tamil Nadu,Kochi,International,Pilgrimage,Monsoon,Nov,Flight,Standard,5.0,10,36518,29545,3603,3666,73332,9,Online,2,No
T0157,63,Female,Germany,Goa,Panaji,International,Vacation,Monsoon,Dec,Train,Luxury,3.9,10,9348,9553,6687,12160,37748,7,Offline,2,No
T0158,49,Male,Germany,Kerala,Mysuru,International,Pilgrimage,Winter,Apr,Flight,Luxury,4.0,2,36620,8213,3639,3690,52162,9,Offline,2,Yes
T0159,42,Female,Australia,Goa,Mysuru,Domestic,Pilgrimage,Winter,May,Train,Luxury,3.7,10,15184,28064,7893,17801,68942,10,Online,1,Yes
T0160,56,Male,Germany,Tamil Nadu,Kochi,Domestic,Vacation,Summer,Oct,Car,Budget,3.4,2,27276,44278,7381,17343,96278,7,Offline,3,No
T0161,65,Male,USA,Tamil Nadu,Panaji,Domestic,Adventure,Monsoon,Sep,Flight,Luxury,4.2,7,7323,8979,5870,16430,38602,10,Online,6,Yes
T0162,24,Female,USA,Karnataka,Jaipur,Domestic,Adventure,Summer,Aug,Train,Luxury,4.1,9,31268,6888,5225,5932,49313,9,Offline,3,No
T0163,22,Male,UK,Rajasthan,Kochi,International,Business,Monsoon,Nov,Flight,Standard,3.1,6,13721,35997,3584,1086,54388,7,Online,2,Yes
T0164,64,Male,USA,Tamil Nadu,Kochi,Domestic,Pilgrimage,Monsoon,Feb,Bus,Luxury,4.6,8,25977,9953,9507,19825,65262,5,Online,6,No
T0165,55,Female,Australia,Tamil Nadu,Panaji,International,Business,Winter,Jun,Flight,Luxury,4.3,10,13148,35057,7694,12615,68514,10,Online,1,Yes
T0166,47,Male,Australia,Tamil Nadu,Jaipur,International,Adventure,Monsoon,May,Train,Budget,3.4,7,12150,22017,5399,15406,54972,7,Offline,1,Yes
T0167,67,Male,UK,Kerala,Chennai,International,Business,Summer,Jan,Bus,Luxury,3.3,6,9696,9331,2056,17955,39038,5,Online,2,No
T0168,61,Male,India,Goa,Mysuru,Domestic,Business,Winter,Jan,Bus,Standard,3.9,2,22151,42949,4204,6426,75730,9,Online,5,Yes
T0169,32,Female,India,Kerala,Mysuru,Domestic,Vacation,Summer,Feb,Flight,Budget,3.8,9,17178,41844,6046,8517,73585,8,Offline,5,Yes
T0170,37,Female,Australia,Goa,Mysuru,International,Business,Monsoon,Feb,Car,Budget,3.9,8,14906,40174,8896,17744,81720,9,Online,4,Yes
